Compilation	gcc-ref	gcc	icc	llvm	gcc+seq	gcc+sac	icc+sac	llvm+sac
daxpy_r.c	1933734	1935851	1941974	1932617	1941856	1932959	1929604	1938193	
daxpy_ur.c	1931779	1932338	1932753	1945305	1948584	1934827	1933631	1937369	
ddot_r.c	17793	19386	12191	21101	25490	18924	18560	18435	
ddot_ur.c	19305	19257	16635	19316	26037	17623	17227	18074	
dscal_r.c	1934692	1944013	1923703	1943200	1938208	1930294	1928215	1929183
dscal_ur.c	1935732	1932348	1925334	1933790	1940586	1928948	1922907	1923074	
matrix_add_const.c	7484	7503	6821	7913	11037	7865	7535	7709	
matrix_mul_const.c	7560	7598	7429	7938	10544	7304	6970	7162	
matrix_mul_vect.c	5213	5247	4836	6911	9453	4761	4615	4319	
matrix_mul_matrix.c	4173621	4202763	3976309	4400926	12115274	4744732	4537512	4542691	
alphablending.c	110085	110017	90327	110503	257956	92103	84904	85918	
average_power.c	153171	154508	140225	173350	276630	153949	135584	143839	
convol3x3.c	18361	18097	15140	18132	39146	5146	5242	10815	
fir.c	1191050	1190567	585705	3429364	6022014	747824	736276	827715	
jacobi.c	757998	757962	146916	761945	1122687	282890	288375	283137	
