Compilation	gcc-ref	gcc	icc	llvm	gcc+seq	gcc+sac	icc+sac	llvm+sac
daxpy_r.c 1 -0.109477 -0.426119 0.0577639 -0.420016 0.0400779 0.213576 -0.23059
daxpy_ur.c 1 -0.0289371 -0.0504198 -0.700184 -0.869924 -0.157782 -0.0958702 -0.289371
ddot_r.c 1 -8.95296 31.4843 -18.5916 -43.2586 -6.35643 -4.31068 -3.60816
ddot_ur.c 1 0.24864 13.8306 -0.0569801 -34.8718 8.71277 10.7641 6.37659
dscal_r.c 1 -0.481782 0.567997 -0.43976 -0.181734 0.227323 0.334782 0.284748
dscal_ur.c 1 0.174818 0.537161 0.100324 -0.250758 0.350462 0.66254 0.653913
matrix_add_const.c 1 -0.253875 8.8589 -5.73223 -47.4746 -5.09086 -0.681454 -3.00641
matrix_mul_const.c 1 -0.502646 1.7328 -5 -39.4709 3.38624 7.80423 5.26455
matrix_mul_vect.c 1 -0.652216 7.23192 -32.5724 -81.3351 8.67063 11.4713 17.1494
matrix_mul_matrix.c 1 -0.698243 4.7276 -5.44623 -190.282 -13.6838 -8.71883 -8.84292
alphablending.c 1 0.0617705 17.9479 -0.379707 -134.324 16.3347 22.8741 21.953
average_power.c 1 -0.872881 8.45199 -13.1742 -80.6021 -0.507929 11.4819 6.09254
convol3x3.c 1 1.43783 17.5426 1.24721 -113.202 71.9732 71.4504 41.098
fir.c 1 0.0405525 50.8245 -187.928 -405.605 37.213 38.1826 30.5054
jacobi.c 1 0.00474935 80.6179 -0.520714 -48.1121 62.6793 61.9557 62.6467
